Word,Frequency
이,53
제품의,53
알려주세요,53
대해,53
여부에,4
가능,4
정보에,2
지원,2
사용,2
공식,2
사용법에,2
구매,2
시간에,2
제품,2
소비량에,1
업데이트,1
유지보수,1
비용에,1
비교에,1
기타,1
액세서리에,1
타사,1
연락처,1
옵션에,1
수상,1
이력에,1
전력,1
후기에,1
FAQ,1
링크에,1
AS,1
행사에,1
특별,1
호환성에,1
색상에,1
구성품에,1
서비스,1
운영,1
도움이,1
되는,1
팁에,1
역사에,1
중고,1
성능에,1
주요,1
설명서에,1
반품,1
교환,1
거래,1
조에,1
수명에,1
언어에,1
쿠폰,1
평균,1
만족도에,1
고객,1
제조사에,1
환경,1
할인,1
친화성에,1
판매처에,1
장점에,1
대량,1
할인에,1
사양에,1
상세,1
웹사이트에,1
재질에,1
유명,1
사례에,1
배송,1
배송비에,1
원산지에,1
제조국에,1
이벤트,1
참여,1
방법에,1
재입고,1
일정에,1
디자인에,1
연령에,1
카테고리에,1
보증기간에,1
추천,1
이유에,1
사용자,1
수에,1
사이즈에,1
오프라인,1
가격에,1
가장,1
많이,1
묻는,1
질문에,1
